DATE,TIME,LEAGUE,MATCH NO.,HOME,AWAY,VENUE
"Saturday, 6 June 2026",13:00,SLM,099,Parkroad Badgers,Parkroad Tigers,Parklands Sports Club
"Saturday, 6 June 2026",15:00,SLM,100,UoN,KCA University,UoN Grounds
"Sunday, 7 June 2026",10:00,SLM,106,UoN,Parkroad Tigers,UoN Grounds
"Sunday, 7 June 2026",12:00,SLM,113,Parkroad Badgers,KCA University,Parklands Sports Club
"Saturday, 13 June 2026",13:00,SLM,116,Strathmore University,UoN,Strathmore University Grounds
"Saturday, 13 June 2026",15:00,SLM,125,Impala Club,Wazalendo Masters,Impala Club
"Sunday, 14 June 2026",11:00,SLM,135,Parkroad Tigers,Strathmore University,Parklands Sports Club
"Sunday, 14 June 2026",11:00,SLM,136,Impala Club,UoN,Impala Club
"Sunday, 14 June 2026",13:00,SLM,138,Wazalendo Masters,KCA University,Impala Club
"Saturday, 20 June 2026",12:00,SLM,144,Parkroad Tigers,KCA University,Parklands Sports Club
"Saturday, 20 June 2026",14:00,SLM,153,Mvita XI,Wazalendo Masters,Aryans Ground
"Saturday, 20 June 2026",14:00,SLM,154,Parkroad Badgers,Nakuru,Parklands Sports Club
"Sunday, 21 June 2026",09:00,SLM,160,Parkroad Tigers,Nakuru,Parklands Sports Club
"Sunday, 21 June 2026",13:00,SLM,174,UoN,Parkroad Badgers,UoN Grounds
"Saturday, 27 June 2026",13:00,SLM,184,KCA University,Mvita XI,Parklands Sports Club
"Saturday, 27 June 2026",15:00,SLM,187,Strathmore University,Wazalendo Masters,Strathmore University Grounds
"Sunday, 28 June 2026",10:00,SLM,198,Strathmore University,Mvita XI,Strathmore University Grounds
"Sunday, 28 June 2026",13:00,SLM,203,Impala Club,Parkroad Tigers,Impala Club
"Saturday, 4 July 2026",13:00,SLM,211,Strathmore University,Impala Club,Strathmore University Grounds
"Saturday, 4 July 2026",13:00,SLM,213,Nakuru,GHF Blue Pirates,Greensteds
"Saturday, 4 July 2026",15:00,SLM,215,Wazalendo Masters,UoN,Impala Club
"Sunday, 5 July 2026",13:00,SLM,222,Wazalendo Masters,GHF Blue Pirates,Impala Club
"Sunday, 5 July 2026",13:00,SLM,223,KCA University,Impala Club,Parklands Sports Club
"Sunday, 5 July 2026",15:00,SLM,225,Parkroad Badgers,Strathmore University,Parklands Sports Club
"Saturday, 11 July 2026",13:00,SLM,230,Nakuru,Wazalendo Masters,Greensteds
"Sunday, 12 July 2026",11:00,SLM,233,Nakuru,Impala Club,Greensteds
"Saturday, 18 July 2026",11:00,SLM,235,Parkroad Tigers,Wazalendo Masters,Parklands Sports Club
"Saturday, 18 July 2026",12:30,SLM,236,Impala Club,Parkroad Badgers,Impala Club
"Saturday, 18 July 2026",15:00,SLM,240,KCA University,Nakuru,Parklands Sports Club
"Saturday, 18 July 2026",15:30,SLM,241,GHF Blue Pirates,Mvita XI,Impala Club
"Sunday, 19 July 2026",11:00,SLM,246,Impala Club,GHF Blue Pirates,Impala Club
"Sunday, 19 July 2026",13:00,SLM,249,Mvita XI,Nakuru,Impala Club
"Sunday, 19 July 2026",13:00,SLM,250,KCA University,Strathmore University,Parklands Sports Club
"Sunday, 19 July 2026",15:00,SLM,252,Parkroad Badgers,Wazalendo Masters,Parklands Sports Club
