legacy_id,season,zone,date,game_week,venue,home_team_name,away_team_name,home_score,away_score,played,active,description
1,2016,,02/07/2016 14:00,0,CITY PARK,Thika Rovers,Technical University,1,0,1,Y,
2,2016,,03/07/2016 11:00,0,CITY PARK,Wazalendo Youth,Multimedia University,6,4,1,Y,
3,2016,,03/07/2016 14:00,0,CITY PARK,Karate Axiom,Daystar University,1,3,1,Y,
4,2016,,17/07/2016 09:00,0,CITY PARK,Parkroad Tigers,JKUAT,1,0,1,Y,
5,2016,,23/07/2016 14:00,0,CITY PARK,Impala Club,Kimathi University,2,1,1,Y,
6,2016,,23/07/2016 14:00,0,KABARAK,Kabarak University,Technical University,0,2,1,Y,
7,2016,,24/07/2016 15:00,0,CITY PARK,Multimedia University,Karate Axiom,5,1,1,Y,
8,2016,,30/07/2016 14:00,0,CITY PARK,Kabarak University,Thika Rovers,4,1,1,Y,
9,2016,,31/07/2016 11:00,0,CITY PARK,Wazalendo Youth,Kabarak University,7,0,1,Y,
10,2016,,31/07/2016 15:00,0,CITY PARK,Parkroad Tigers,Kimathi University,1,0,1,Y,
11,2016,,06/08/2016 14:00,0,CITY PARK,Impala Club,JKUAT,2,2,1,Y,
12,2016,,06/08/2016 16:00,0,CITY PARK,Wazalendo Youth,Kimathi University,4,0,1,Y,
13,2016,,07/08/2016 13:00,0,CITY PARK,Daystar University,Parkroad Tigers,0,2,1,Y,
14,2016,,13/08/2016 14:00,0,CITY PARK,Thika Rovers,JKUAT,1,2,1,Y,
15,2016,,13/08/2016 16:00,0,CITY PARK,Technical University,Wazalendo Youth,3,2,1,Y,
16,2016,,14/08/2016 11:00,0,CITY PARK,Impala Club,Daystar University,3,1,1,Y,
17,2016,,10/09/2016 12:00,0,CITY PARK,JKUAT,Multimedia University,0,5,1,Y,
18,2016,,10/09/2016 14:00,0,CITY PARK,Thika Rovers,Wazalendo Youth,2,3,1,Y,
19,2016,,10/09/2016 16:00,0,CITY PARK,Technical University,Parkroad Tigers,5,2,1,Y,
20,2016,,10/09/2016 18:00,0,CITY PARK,Impala Club,Karate Axiom,5,0,1,Y,
21,2016,,11/09/2016 11:00,0,CITY PARK,Karate Axiom,Technical University,0,1,1,Y,
22,2016,,11/09/2016 13:00,0,CITY PARK,Parkroad Tigers,Thika Rovers,4,1,1,Y,
