"legacy_id","season","zone","date","game_week","venue","home_team_name","away_team_name","home_score","away_score","played","active","description"
"1","2016","A","2016-07-02 16:00:00","0","CITY PARK","Kenyatta University Men","Butali Warriors","1","6","1","Y",
"2","2016","B","2016-07-02 18:00:00","0","CITY PARK","KCAU","Sailors","2","2","1","Y",
"3","2016","B","2016-07-03 13:00:00","0","CITY PARK","Kenya Police","Wazalendo","1","1","1","Y",
"4","2016","A","2016-07-03 15:00:00","0","CITY PARK","Sikh Union Nrb","Strathmore University Men","1","3","1","Y",
"5","2016","A","2016-07-03 16:00:00","0","CITY PARK","Parklands Sports Club","USIU-A Men","3","3","1","Y",
"6","2016","B","2016-07-03 18:00:00","0","CITY PARK","Parkroad Badgers","Greensharks","0","0","1","Y",
"7","2016","B","2016-07-17 13:00:00","0","CITY PARK","Kenya Police","Sailors","2","3","1","Y",
"8","2016","A","2016-07-17 15:00:00","0","CITY PARK","Strathmore University Men","Butali Warriors","1","3","1","Y",
"9","2016","A","2016-07-23 16:00:00","0","CITY PARK","Kenyatta University Men","Nakuru","0","3","1","Y",
"10","2016","B","2016-07-23 18:00:00","0","CITY PARK","Parkroad Badgers","Western Jaguars","2","1","1","Y",
"11","2016","B","2016-07-24 09:00:00","0","CITY PARK","Greensharks","Western Jaguars","2","0","1","Y",
"12","2016","A","2016-07-24 11:00:00","0","CITY PARK","USIU-A Men","Nakuru","2","1","1","Y",
"13","2016","B","2016-07-30 16:00:00","0","CITY PARK","Wazalendo","KCAU","0","1","1","Y",
"14","2016","A","2016-07-30 18:00:00","0","CITY PARK","Sikh Union Nrb","Bay Club","10","0","1","Y",
"15","2016","A","2016-07-31 09:00:00","0","CITY PARK","Parklands Sports Club","Bay Club","0","2","1","Y",
"17","2016","A","2016-08-06 15:00:00","0","KSM","Bay Club","USIU-A Men","0","1","1","Y",
"16","2016","A","2016-08-06 18:00:00","0","CITY PARK","Butali Warriors","Sikh Union Nrb","3","0","1","Y",
"19","2016","A","2016-08-07 09:00:00","0","KSM","Bay Club","Kenyatta University Men","0","0","1","Y",
"18","2016","A","2016-08-07 15:00:00","0","CITY PARK","Strathmore University Men","Parklands Sports Club","1","1","1","Y",
"21","2016","B","2016-08-13 15:00:00","0","KKG","Western Jaguars","Kenya Police","0","4","1","Y",
"20","2016","B","2016-08-13 18:00:00","0","CITY PARK","Greensharks","Wazalendo","2","0","1","Y",
"23","2016","B","2016-08-14 09:00:00","0","KKG","Western Jaguars","Sailors","0","2","1","Y",
"22","2016","B","2016-08-14 15:00:00","0","CITY PARK","Parkroad Badgers","KCAU","0","4","1","Y",
"26","2016","A","2016-09-17 15:00:00","0","NAKURU","Nakuru","Butali Warriors","2","3","1","Y",
"24","2016","A","2016-09-17 16:00:00","0","CITY PARK","Kenyatta University Men","Sikh Union Nrb","1","2","1","Y",
"25","2016","B","2016-09-17 18:00:00","0","CITY PARK","Sailors","Wazalendo","2","3","1","Y",
"29","2016","A","2016-09-18 09:00:00","0","NAKURU","Nakuru","Parklands Sports Club","0","1","1","Y",
"27","2016","B","2016-09-18 13:00:00","0","CITY PARK","Parkroad Badgers","Kenya Police","0","4","1","Y",
"28","2016","A","2016-09-18 15:00:00","0","CITY PARK","USIU-A Men","Strathmore University Men","0","2","1","Y",
"30","2016","B","2016-09-24 16:00:00","0","CITY PARK","Greensharks","KCAU","1","0","1","Y",
"31","2016","A","2016-09-24 18:00:00","0","CITY PARK","Bay Club","Nakuru","0","1","1","Y",
"32","2016","A","2016-09-25 09:00:00","0","CITY PARK","Butali Warriors","Bay Club","9","0","1","Y",
"33","2016","A","2016-09-25 11:00:00","0","CITY PARK","Strathmore University Men","Nakuru","6","0","1","Y",
"36","2016","B","2016-10-01 15:00:00","0","KKG","Western Jaguars","KCAU","1","2","1","Y",
"34","2016","A","2016-10-01 16:00:00","0","CITY PARK","Parklands Sports Club","Kenyatta University Men","1","2","1","Y",
"35","2016","A","2016-10-01 18:00:00","0","CITY PARK","Sikh Union Nrb","USIU-A Men","0","0","1","Y",
"38","2016","B","2016-10-02 03:00:00","0","CITY PARK","Wazalendo","Parkroad Badgers","1","3","1","Y",
"37","2016","B","2016-10-02 13:00:00","0","CITY PARK","Greensharks","Sailors","4","1","1","Y",
"40","2016","A","2016-10-08 15:00:00","0","KSM","Bay Club","Strathmore University Men","0","1","1","Y",
"39","2016","A","2016-10-08 18:00:00","0","CITY PARK","Butali Warriors","Parklands Sports Club","5","0","1","Y",
"41","2016","B","2016-10-09 15:00:00","0","CITY PARK","Kenya Police","KCAU","6","2","1","Y",
"44","2016","A","2016-10-15 14:00:00","0","NAKURU","Nakuru","Sikh Union Nrb","1","0","1","Y",
"42","2016","B","2016-10-15 16:00:00","0","CITY PARK","Western Jaguars","Wazalendo","0","3","1","Y",
"43","2016","B","2016-10-15 18:00:00","0","CITY PARK","Kenya Police","Greensharks","2","0","1","Y",
"45","2016","A","2016-10-16 15:00:00","0","CITY PARK","Kenyatta University Men","USIU-A Men","3","2","1","Y",
"46","2016","A","2016-10-29 16:00:00","0","CITY PARK","Kenyatta University Men","Strathmore University Men","0","1","1","Y",
