legacy_id,season,zone,date,game_week,venue,home_team_name,away_team_name,home_score,away_score,played,active,description
1,2016,,02/07/2016 12:00,0,CITY PARK,Blazers H.C,Kenyatta University,10,0,1,Y,
2,2016,,03/07/2016 09:00,0,CITY PARK,Sliders,Daystar University,10,0,1,Y,
3,2016,,03/07/2016 12:00,0,CITY PARK,JKUAT,Daystar University,1,0,1,Y,
4,2016,,17/07/2016 11:00,0,CITY PARK,USIU-A,Vikings,1,0,1,Y,
5,2016,,23/07/2016 12:00,0,CITY PARK,Kenyatta University,Amira Sailors,0,0,1,Y,
6,2016,,24/07/2016 13:00,0,CITY PARK,Blazers H.C,Strathmore University,2,2,1,Y,
7,2016,,30/07/2016 12:00,0,CITY PARK,Sliders,JKUAT,7,0,1,Y,
8,2016,,31/07/2016 13:00,0,CITY PARK,Vikings,Amira Sailors,0,2,1,Y,
9,2016,,06/08/2016 12:00,0,CITY PARK,Kenyatta University,JKUAT,2,0,1,Y,
10,2016,,07/08/2016 09:00,0,CITY PARK,Vikings,Daystar University,2,0,1,Y,
11,2016,,07/08/2016 11:00,0,CITY PARK,Strathmore University,USIU-A,5,1,1,Y,
12,2016,,13/08/2016 12:00,0,CITY PARK,JKUAT,Amira Sailors,0,8,1,Y,
13,2016,,14/08/2016 09:00,0,CITY PARK,Blazers H.C,USIU-A,6,1,1,Y,
14,2016,,11/09/2016 09:00,0,CITY PARK,JKUAT,USIU-A,0,4,1,Y,
15,2016,,17/09/2016 14:00,0,CITY PARK,Blazers H.C,Sliders,6,0,1,Y,
16,2016,,18/09/2016 09:00,0,CITY PARK,Vikings,Strathmore University,1,0,1,Y,
17,2016,,24/09/2016 12:00,0,CITY PARK,USIU-A,Kenyatta University,5,1,1,Y,
18,2016,,25/09/2016 13:00,0,CITY PARK,Daystar University,Amira Sailors,0,5,1,Y,
19,2016,,25/09/2016 15:00,0,CITY PARK,Sliders,Strathmore University,1,1,1,Y,
20,2016,,02/10/2016 11:00,0,CITY PARK,Blazers H.C,Vikings,3,0,1,Y,
21,2016,,08/10/2016 12:00,0,CITY PARK,Strathmore University,Amira Sailors,1,0,1,Y,
22,2016,,08/10/2016 14:00,0,CITY PARK,Sliders,USIU-A,0,0,1,Y,
23,2016,,09/10/2016 09:00,0,CITY PARK,Kenyatta University,Daystar University,2,0,1,Y,
24,2016,,15/10/2016 12:00,0,CITY PARK,Blazers H.C,Daystar University,16,0,1,Y,
25,2016,,15/10/2016 14:00,0,CITY PARK,Sliders,Vikings,1,1,1,Y,
26,2016,,16/10/2016 11:00,0,CITY PARK,Blazers H.C,JKUAT,12,0,1,Y,
27,2016,,29/10/2016 12:00,0,CITY PARK,USIU-A,Amira Sailors,0,0,1,Y,
28,2016,,30/10/2016 09:00,0,CITY PARK,Strathmore University,Kenyatta University,2,0,1,Y,
29,2016,,05/11/2016 12:00,0,CITY PARK,Amira Sailors,Sliders,2,0,1,Y,
30,2016,,05/11/2016 14:00,0,CITY PARK,Strathmore University,JKUAT,5,1,1,Y,
31,2016,,06/11/2016 09:00,0,CITY PARK,Kenyatta University,Vikings,0,5,1,Y,
32,2016,,06/11/2016 23:00,0,CITY PARK,USIU-A,Daystar University,10,0,1,Y,
33,2016,,12/11/2016 14:00,0,CITY PARK,Kenyatta University,Sliders,0,0,1,Y,
34,2016,,13/11/2016 11:00,0,CITY PARK,Daystar University,Strathmore University,0,9,1,Y,
35,2016,,13/11/2016 13:00,0,CITY PARK,Blazers H.C,Amira Sailors,4,0,1,Y,
36,2016,,19/11/2016 14:00,0,CITY PARK,JKUAT,Vikings,1,7,1,Y,
