"legacy_id","season","zone","date","game_week","venue","home_team_name","away_team_name","home_score","away_score","played","active","description"
"1","2018",,"2018-04-07 12:00:00","1","City Park","Kenyatta University Women","DFG Wolverines","0","0","1","Y",
"2","2018",,"2018-04-08 13:00:00","1","City Park","UON Women","Multimedia University Women","0","1","1","Y",
"3","2018",,"2018-04-14 15:00:00","2","Kisumu","Lakers","Nakuru Women","1","0","1","Y",
"4","2018",,"2018-04-15 09:00:00","2","City Park","UON Women","DFG Wolverines","0","0","1","Y",
"7","2018",,"2018-04-29 09:00:00","3","City Park","Kenyatta University Women","UON Women","0","1","1","Y",
"8","2018",,"2018-05-05 13:00:00","4","Nakuru","Nakuru Women","Kenyatta University Women","0","1","1","Y",
"10","2018",,"2018-05-12 15:00:00","5","Mombasa","Mombasa Sports Club Women","Kenyatta University Women","0","2","1","Y",
"15","2018",,"2018-05-19 18:00:00","6","City Park","DFG Wolverines","Lakers","0","1","1","Y",
"16","2018",,"2018-05-20 09:00:00","6","City Park","UON Women","Lakers","1","0","1","Y",
"17","2018",,"2018-06-09 13:00:00","7","Nakuru","Nakuru Women","DFG Wolverines","0","0","1","Y",
"18","2018",,"2018-06-16 13:00:00","8","Nakuru","Nakuru Women","UON Women","0","0","1","Y",
"26","2018",,"2018-07-21 18:00:00","9","City Park","Lakers","Mombasa Sports Club Women","1","0","1","Y",
"27","2018",,"2018-07-22 09:00:00","9","City Park","UON Women","Mombasa Sports Club Women","1","2","1","Y",
"28","2018",,"2018-07-28 12:00:00","10","City Park","DFG Wolverines","UON Women","0","0","1","Y",
"29","2018",,"2018-07-28 15:00:00","10","Nakuru","Nakuru Women","Lakers","1","3","1","Y",
"30","2018",,"2018-08-11 16:00:00","11","City Park","Nakuru Women","Mombasa Sports Club Women","1","1","1","Y",
"31","2018",,"2018-08-12 09:00:00","11","City Park","DFG Wolverines","Mombasa Sports Club Women","2","1","1","Y",
"56","2018",,"2018-08-26 09:00:00","12","City Park","Multimedia University Women","DFG Wolverines","1","1","1","Y",
"57","2018",,"2018-09-08 14:00:00","13","City Park","Lakers","Kenyatta University Women","1","2","1","Y",
"58","2018",,"2018-09-09 09:00:00","13","City Park","Multimedia University Women","Lakers","4","0","1","Y",
"59","2018",,"2018-09-15 12:00:00","14","City Park","Kenyatta University Women","Multimedia University Women","2","0","1","Y",
"60","2018",,"2018-09-16 09:00:00","14","City Park","Multimedia University Women","DFG Wolverines","1","1","1","Y",
"61","2018",,"2018-09-22 15:00:00","15","Kisumu","Lakers","Multimedia University Women","2","0","1","Y",
"62","2018",,"2018-09-23 11:00:00","15","City Park","DFG Wolverines","Kenyatta University Women","0","0","1","Y",
"63","2018",,"2018-09-29 16:00:00","16","City Park","Nakuru Women","Mombasa Sports Club Women","1","0","1","Y",
"64","2018",,"2018-09-30 09:00:00","16","City Park","Kenyatta University Women","Mombasa Sports Club Women","2","0","1","Y",
"65","2018",,"2018-09-30 11:00:00","16","City Park","Multimedia University Women","Nakuru Women","0","0","1","Y",
