id,tname,short_name,gender
1,Amira Sailors,Sailors,F
2,Bay Club,Bay,M
3,Black Tigers,Black Tigers,M
4,Black Tigress,B.Tigress,F
5,Blazers H.C,Blazers,F
6,Bungoma Farmers,Bungoma,M
7,Butali Warriors,Butali,M
8,Daikyo Heroes Hockey Club,Daikyo Heroes,M
9,Daystar University Men,Daystar,M
10,Daystar University Women,Daystar,F
11,Defence Forces Veterans,DFV,M
12,DFG Wolverines,Wolverines,F
13,GHF Blue Pirates,Blue Pirates,M
14,GHF Rift Pirates Men,GHF Rift Pirates,M
15,GHF Rift Pirates Women,GHF Rift Pirates,W
16,GI Blues,GI,M
17,Gorillas,Gorillas,M
18,Greensharks,Sharks,M
19,Impala,Impala,M
20,JKUAT Men,JKUAT,M
21,JKUAT Women,JKUAT,F
22,Kabarak University,Kabarak,M
23,Karate Axiom,Karate,M
24,KCAU,KCAU,M
25,Kenya Men,KEN,M
26,Kenya Police,K.Police,M
27,Kenyatta University Men,KU,M
28,Kenyatta University Women,KU,F
29,Kimathi University,Kimathi,M
30,Kirinyaga Knights,K.Knights,M
31,Kisii Falcons,Kisii Falcons,M
32,Kisumu Queens,KSM Queens,F
33,Kisumu Youngstars,Youngstars,M
34,Kitale Hockey Club,Kitale HC,M
35,Lakers,Lakers,F
37,Mombasa Sports Club Men,MSC,M
38,Mombasa Sports Club Women,MSC,F
39,Mombasa West,MSA West,M
40,Mount Kenya University,MKU,M
41,Multimedia University Men,MMU,M
42,Multimedia University Women,MMU,F
43,Mvita XI,Mvita,M
44,Nairobi Chapel Men,Nairobi Chapel,M
45,Nairobi Chapel Women,Nairobi Chapel,F
46,Nakuru,Nakuru,M
50,Nakuru Women,Nakuru,W
51,Nandi Hawks,Nandi Hawks,M
52,Oranje Leonas,Leonas,M
53,Parklands Sports Club,Parklands,M
54,Parkroad Badgers,Parkroad,M
55,Parkroad Tigers,P.Tigers,M
56,Sailors,Sailors,M
57,Sikh Union Nrb,Sikh Union,M
58,Sliders,Sliders,F
59,Strathmore University Men,Strath,M
60,Strathmore University Women,Strath,F
61,Technical University Men,TUK,M
62,Technical University Women,TUK,F
63,Thika Rovers,Rovers,M
64,Twinkle Hockey Club,Twinkle HC,F
65,University of Eldoret,UOE,M
66,University of Eldoret Women,UOE,F
67,UON Men,UON,M
68,UON Women,UON,F
69,USIU-A Men,USIU,M
70,USIU-A Women,USIU,F
71,Vikings,Vikings,F
72,Wazalendo,Waza,M
73,Wazalendo Masters,W.Masters,M
74,Wazalendo Veterans,Waza Veterans,M
75,Wazalendo Youth,W.Youth,M
76,Western Jaguars,W.Jaguars,M
77,Western Jaguars Dev,W.Jaguars Dev,M
