id,name,short_name,logo,active,gender
1,Amira Sailors,Sailors,,1,WOMEN
2,Bay Club,Bay,,1,MEN
3,Black Tigers,Black Tigers,,1,MEN
4,Black Tigress,B.Tigress,,1,WOMEN
5,Blazers H.C,Blazers,,1,WOMEN
6,Bungoma Farmers,Bungoma,,1,MEN
7,Butali Warriors,Butali,,1,MEN
8,Daikyo Heroes Hockey Club,Daikyo Heroes,,1,MEN
9,Daystar University Men,Daystar,,1,MEN
10,Daystar University Women,Daystar,,1,WOMEN
11,Defence Forces Veterans,DFV,,1,MEN
12,DFG Wolverines,Wolverines,,1,WOMEN
13,GHF Blue Pirates,Blue Pirates,,1,MEN
14,GHF Rift Pirates Men,GHF Rift Pirates,,1,MEN
15,GI Blues,GI,,1,MEN
16,Gorillas,Gorillas,,1,MEN
17,Greensharks,Sharks,,1,MEN
18,Impala,Impala,,1,MEN
19,JKUAT Men,JKUAT,,1,MEN
20,JKUAT Women,JKUAT,,1,WOMEN
21,Kabarak University,Kabarak,,1,MEN
22,Karate Axiom,Karate,,1,MEN
23,KCAU,KCAU,,1,MEN
24,Kenya Men,KEN,,1,MEN
25,Kenya Police,K.Police,,1,MEN
26,Kenyatta University Men,KU,,1,MEN
27,Kenyatta University Women,KU,,1,WOMEN
28,Kimathi University,Kimathi,,1,MEN
29,Kirinyaga Knights,K.Knights,,1,MEN
30,Kisii Falcons,Kisii Falcons,,1,MEN
31,Kisumu Queens,KSM Queens,,1,WOMEN
32,Kisumu Youngstars,Youngstars,,1,MEN
33,Kitale Hockey Club,Kitale HC,,1,MEN
34,Lakers,Lakers,,1,WOMEN
35,Mombasa Sports Club Men,MSC,,1,MEN
36,Mombasa Sports Club Women,MSC,,1,WOMEN
37,Mombasa West,MSA West,,1,MEN
38,Mount Kenya University,MKU,,1,MEN
39,Multimedia University Men,MMU,,1,MEN
40,Multimedia University Women,MMU,,1,WOMEN
41,Mvita XI,Mvita,,1,MEN
42,Nairobi Chapel Men,Nairobi Chapel,,1,MEN
43,Nairobi Chapel Women,Nairobi Chapel,,1,WOMEN
44,Nakuru,Nakuru,,1,MEN
45,Nandi Hawks,Nandi Hawks,,1,MEN
46,Oranje Leonas,Leonas,,1,MEN
47,Parklands Sports Club,Parklands,,1,MEN
48,Parkroad Badgers,Parkroad,,1,MEN
49,Parkroad Tigers,P.Tigers,,1,MEN
50,Sailors,Sailors,,1,MEN
51,Sikh Union Nrb,Sikh Union,,1,MEN
52,Sliders,Sliders,,1,WOMEN
53,Strathmore University Men,Strath,,1,MEN
54,Strathmore University Women,Strath,,1,WOMEN
55,Technical University Men,TUK,,1,MEN
56,Technical University Women,TUK,,1,WOMEN
57,Thika Rovers,Rovers,,1,MEN
58,Twinkle Hockey Club,Twinkle HC,,1,WOMEN
59,University of Eldoret,UOE,,1,MEN
60,University of Eldoret Women,UOE,,1,WOMEN
61,UON Men,UON,,1,MEN
62,UON Women,UON,,1,WOMEN
63,USIU-A Men,USIU,,1,MEN
64,USIU-A Women,USIU,,1,WOMEN
65,Vikings,Vikings,,1,WOMEN
66,Wazalendo,Waza,,1,MEN
67,Wazalendo Masters,W.Masters,,1,MEN
68,Wazalendo Veterans,Waza Veterans,,1,MEN
69,Wazalendo Youth,W.Youth,,1,MEN
70,Western Jaguars,W.Jaguars,,1,MEN
71,Western Jaguars Dev,W.Jaguars Dev,,1,MEN
72,GHF Rift Pirates Women,GHF Rift Pirates,,1,WOMEN
73,Nakuru Women,Nakuru,,1,WOMEN
74,Dukes,Dukes,,1,MEN
75,Fireflickers,Fireflickers,,1,MEN
76,GHF Blue Pirates II,Blue Pirates II,,1,MEN
77,Gorillas-Migori,Gorillas Migori,,1,MEN
78,Gorillas Ladies,Gorillas Ladies,,1,WOMEN
79,Lakers Hockey Club - Men,Lakers Men,,1,MEN
80,Mangu Legends,Mangu Legends,,1,MEN
81,Masai Mara,Masai Mara,,1,MEN
82,Nyari,Nyari,,1,MEN
83,Oyugis Hockey Club,Oyugis,,1,MEN
84,Parklands SC-Legacy,Parklands Legacy,,1,MEN
85,Rongo University,Rongo Uni,,1,MEN
86,Snippers,Snippers,,1,MEN
87,Swans,Swans,,1,WOMEN
88,Ulinzi Patriots,Ulinzi Patriots,,1,MEN
89,Wazalendo Pearls,Pearls,,1,WOMEN
